RespondentID,Child Abuse/Neglect,ChronicDisease,LonelinessIsolation,DomesticViolence,Crime,DentalProblems,CostofHousing,DrugAlcohol,PeoplenotGetVaccImmun,SedentaryLifestyle,Smoking/VapingTobaccoUse,FirearmRelatedInjuries,GunViolence,Suicide,ElderAbuse/Neglect,MentalHealthProblems,Obesity,SexuallyTransmittedDiseases,Rape/SexualAssault,AgingProblems,Homelessness,QualityNutrition,SeniorCare,AccessSpecialtyCare,LackofFood,CulturalConcerns,AccesstoPrimaryCare,TeenPregnancy,Dementia/Alzheimer,Other
11167176644,,,,,,,Cost of Housing,,,Sedentary Lifestyle (Not Enough Exercise),,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,Teenage Pregnancy,,
11167164714,Child Abuse/Neglect,,,,,,Cost of Housing,,,,,,,,,Mental Health Problems,,,,Aging Problems,,,Senior Care,,,,,,,
11167151703,Child Abuse/Neglect,,,,,,,Drug/Alcohol,,,,Firearm-Related Injuries,,,Elder Abuse/Neglect,,,,,,Homelessness,Quality Nutrition,,,,,,,,
11167130622,Child Abuse/Neglect,,,,,,,,,,,,,Suicide,Elder Abuse/Neglect,,,Sexually Transmitted Diseases (STDs),,,,,,,,,,,,
11167119189,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",Loneliness /Isolation,Domestic Violence,,,Cost of Housing,,,,,,,,,,,,,,,,,,,,,,,
11167106075,,,,,,,Cost of Housing,Drug/Alcohol,,,,,,,,,,,,,Homelessness,,Senior Care,,,,,,,
11167099178,,,,Domestic Violence,Crime,Dental Problems,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11167083032,Child Abuse/Neglect,,,,,,,Drug/Alcohol,,,,,Gun Violence,,,Mental Health Problems,,,,,,,,,Lack of Food,,,,,
11167068541,Child Abuse/Neglect,,,,Crime,,,Drug/Alcohol,,,,,,,Elder Abuse/Neglect,,,,,,,,,,Lack of Food,,,,,
11166982689,,,,,,,,,,,,,,,,,,,,Aging Problems,,,Senior Care,,,,,,Dementia/Alzheimer,
11166274825,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,,People not Getting Vaccinations/Immunizations,,"Smoking/Vaping, Tobacco Use",,,,,,,,,,,,,,,,,,,
11166260590,,,,,Crime,,,,,,"Smoking/Vaping, Tobacco Use",,,Suicide,,,,,,,,,Senior Care,,,,,,,
11166258730,,,,,,,,,,,,,Gun Violence,Suicide,,Mental Health Problems,Obesity,,,,Homelessness,,Senior Care,,,,,,,
11166251179,,,,,,,Cost of Housing,,,Sedentary Lifestyle (Not Enough Exercise),,,,,Elder Abuse/Neglect,,,,,,Homelessness,,Senior Care,,,,,,,
11166241233,Child Abuse/Neglect,,,,,,,,,,,,,,Elder Abuse/Neglect,,,,,,,,,,,,,,,
11166239306,,,,,,,,,,,"Smoking/Vaping, Tobacco Use",,,,,,,,,,Homelessness,,Senior Care,,Lack of Food,,Access to Primary Care,,,
11166226128,Child Abuse/Neglect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11166224969,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,Cost of Housing,,,,,,,,Elder Abuse/Neglect,,,,,,,,Senior Care,,,,,,,
11166214336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11166209726,,,,,Crime,,,,,,,,,,,Mental Health Problems,,,,,,,,,,,Access to Primary Care,,,
11166206361,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,Domestic Violence,,,Cost of Housing,,,,,,,Suicide,Elder Abuse/Neglect,,Obesity,,,,Homelessness,,Senior Care,,,,,,,
11166194194,Child Abuse/Neglect,,,Domestic Violence,Crime,,,,,,,,,,Elder Abuse/Neglect,,,,,,,,,,,,,,,
11166188312,,,,,,,Cost of Housing,,,,,,,Suicide,,Mental Health Problems,,,,,Homelessness,,,,,,,,Dementia/Alzheimer,
11166183367,Child Abuse/Neglect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11166167471,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,Dental Problems,,,,,"Smoking/Vaping, Tobacco Use",,,,Elder Abuse/Neglect,,,,,,,,Senior Care,,,,,,,
11166166359,,,,Domestic Violence,,,,Drug/Alcohol,,,,,,,,,,,,,,,,,,,,Teenage Pregnancy,,homelessness
11166063300,,,,,,,Cost of Housing,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,Access to affordable care
11165669973,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,Drug/Alcohol,,Sedentary Lifestyle (Not Enough Exercise),,,,,,,Obesity,,,,,Quality Nutrition,,,,,,,,
11165012444,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,Cost of Housing,,,,,,,,,,,,,Aging Problems,,,Senior Care,,,,,,,
11164815511,Child Abuse/Neglect,,,,,,Cost of Housing,,,Sedentary Lifestyle (Not Enough Exercise),,,,,,,,,,,,,,,Lack of Food,,Access to Primary Care,,,
11164812014,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,Crime,,,,,,"Smoking/Vaping, Tobacco Use",,,,,,Obesity,,,,,,,,,,,,,
11164650427,,,,,,,Cost of Housing,,,,"Smoking/Vaping, Tobacco Use",,,,,Mental Health Problems,,,,,,,,,,,,Teenage Pregnancy,,Substance using pregnant women
11164494487,,,,,,,,,People not Getting Vaccinations/Immunizations,Sedentary Lifestyle (Not Enough Exercise),"Smoking/Vaping, Tobacco Use",,,,,,Obesity,,,,,,,,,Cultural Concerns,,,,
11163939883,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",Loneliness /Isolation,,,,,Drug/Alcohol,,,,,,,,,,,,,,,Senior Care,,,,,,,
11163388957,,,Loneliness /Isolation,,,,Cost of Housing,,,,,,,,,,,,,,Homelessness,,Senior Care,,,,Access to Primary Care,,,
11163297153,,,,,,,,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,Aging Problems,,,Senior Care,,,,Access to Primary Care,,,
11162819218,Child Abuse/Neglect,,,,,,,,,,,,,,Elder Abuse/Neglect,,,,Rape/Sexual Assault,,Homelessness,,,,,,,,,
11162801723,,,,,,,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,,,Senior Care,Access to Specialty Care,,,Access to Primary Care,,,
11162271812,Child Abuse/Neglect,,Loneliness /Isolation,,,,,Drug/Alcohol,,,,,,,,,,,,Aging Problems,,,Senior Care,,,,,,Dementia/Alzheimer,
11162152745,,,,,Crime,,,Drug/Alcohol,,Sedentary Lifestyle (Not Enough Exercise),,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11161432220,,,,,,,Cost of Housing,,,,"Smoking/Vaping, Tobacco Use",,,,,Mental Health Problems,,,,Aging Problems,Homelessness,,,,,Cultural Concerns,,,,
11160859560,,,,,,,,Drug/Alcohol,,,,,,,,,,,,,Homelessness,Quality Nutrition,,Access to Specialty Care,,,,,,Police misconduct
11160845455,,,Loneliness /Isolation,,,Dental Problems,,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,,,,,,Sexually Transmitted Diseases (STDs),,,,,,,,,,,,
11160839838,Child Abuse/Neglect,,,,,,Cost of Housing,,,Sedentary Lifestyle (Not Enough Exercise),,,,,,,,,,,Homelessness,,,,,,,,Dementia/Alzheimer,
11160831679,Child Abuse/Neglect,,,Domestic Violence,Crime,,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,,,,,,,,,,
11160827427,,,,,,,Cost of Housing,,,,,,,,,,,,,,,,,,,,,,,
11160822002,,,,,,,,Drug/Alcohol,,,,,,,,,,,,,,,,,,,,,,
11160816054,,,,,,Dental Problems,Cost of Housing,,,,,,,,,,,Sexually Transmitted Diseases (STDs),,,,,,,Lack of Food,,Access to Primary Care,,,
11160810539,,,,,,,,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,Access to Primary Care,Teenage Pregnancy,,
11160805278,,,,,,Dental Problems,Cost of Housing,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11160791306,,,,,,Dental Problems,,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,,,,,,,,Teenage Pregnancy,,
11160785593,Child Abuse/Neglect,,,Domestic Violence,,,,,,,,,,Suicide,Elder Abuse/Neglect,,,,Rape/Sexual Assault,,,,,,,,,,,
11160779076,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,Cost of Housing,Drug/Alcohol,,,,,,,,,,,,,Homelessness,,,,,,,,,
11160773314,,,Loneliness /Isolation,,,,,Drug/Alcohol,,,,,,Suicide,,,,Sexually Transmitted Diseases (STDs),,,Homelessness,,,,,,,,,
11160766622,Child Abuse/Neglect,,,Domestic Violence,,,,Drug/Alcohol,,,,,,,,,,,Rape/Sexual Assault,,,,,,,,,,,
11160766172,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,Domestic Violence,,,,,,,,Firearm-Related Injuries,,,,,,,Rape/Sexual Assault,,,,,,,,,,,
11160761445,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,Drug/Alcohol,,,,,,,,,,,,,Homelessness,,,Access to Specialty Care,Lack of Food,,,,,
11160753990,Child Abuse/Neglect,,,,,Dental Problems,Cost of Housing,Drug/Alcohol,,,,,,,,,,,,,Homelessness,,,,,,,,,
11160748232,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,,,,Access to Specialty Care,,,,,,
11160740726,,,,,,Dental Problems,Cost of Housing,,,Sedentary Lifestyle (Not Enough Exercise),,,,,,,,,,,Homelessness,,,,,,Access to Primary Care,,,
11160734603,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,Cost of Housing,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,,,,Mental Health Problems,,,,,,,,,,,,,,
11160723234,,,,,,,Cost of Housing,,People not Getting Vaccinations/Immunizations,,,Firearm-Related Injuries,,,,,Obesity,,,,,Quality Nutrition,,,,,,,,
11160715764,,,,,,Dental Problems,Cost of Housing,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,,,Senior Care,,,,,,,
11160709152,,,,,Crime,Dental Problems,,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,,,,,,,,,,
11160702251,,,,,,,,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,,,,,,,,,,
11160696530,Child Abuse/Neglect,,,,Crime,Dental Problems,,,,,,,,,,,,Sexually Transmitted Diseases (STDs),,,,,,,,,,Teenage Pregnancy,,
11160688201,Child Abuse/Neglect,,,,,,,Drug/Alcohol,,,,,,,,Mental Health Problems,,Sexually Transmitted Diseases (STDs),,,Homelessness,,,,,,,,,Hep C
11160682142,,,,Domestic Violence,,Dental Problems,,,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,Access to Primary Care,,,
11160671864,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,Cost of Housing,,,,,,,,,,,,,,,,,,,,,,,Public transportation
11160664703,,,,,,Dental Problems,,Drug/Alcohol,,,,,,Suicide,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11160657255,,,,Domestic Violence,,,,,,,,,,Suicide,,,,,Rape/Sexual Assault,,Homelessness,,,,,,,,,
11160649755,,,,,,,,Drug/Alcohol,,,,,,Suicide,,Mental Health Problems,,,,,Homelessness,,,,Lack of Food,,,,,
11160643190,,,,Domestic Violence,,,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,Access to Primary Care,,,
11160623096,,,,Domestic Violence,,Dental Problems,Cost of Housing,,,,,,,,,,,,,,Homelessness,,,,,,,,,
11160391837,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,,,Sedentary Lifestyle (Not Enough Exercise),"Smoking/Vaping, Tobacco Use",,,,,,,,,,,Quality Nutrition,,,Lack of Food,,,,,
11160236580,,,,,,Dental Problems,,Drug/Alcohol,,,,,,,,Mental Health Problems,,Sexually Transmitted Diseases (STDs),,,Homelessness,,,,,,,,,
11160198624,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,Dental Problems,,Drug/Alcohol,,,,,,,,,,,,,Homelessness,,,Access to Specialty Care,,,,,,
11160194782,Child Abuse/Neglect,,,,,,,,,,,,,,Elder Abuse/Neglect,,,,,,Homelessness,,,,,,,,,Elder Socialization
11160192650,,,Loneliness /Isolation,,,Dental Problems,Cost of Housing,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,,,,,,,,,,
11160183275,,,,,,Dental Problems,,,,,,,,,,,,,,,Homelessness,,,Access to Specialty Care,,,Access to Primary Care,,,Recreation
11160183107,,,,,,,,Drug/Alcohol,,,,,,,,Mental Health Problems,,Sexually Transmitted Diseases (STDs),,,Homelessness,,,,,,Access to Primary Care,,,
11160176796,,,,,,,,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,,,,,,,Access to Primary Care,,,
11160175349,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,Dental Problems,,Drug/Alcohol,,Sedentary Lifestyle (Not Enough Exercise),,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11160167278,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,,,,Mental Health Problems,,,,,,,,,,,,,,
11160166822,,,,,,,Cost of Housing,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,,Suicide,,,,,,,Homelessness,,,,,,,,,
11160158525,,,,,,,Cost of Housing,,,,,,,,,,,,,,,,,,,,,,,public transportation is non-existent
11160156592,,,,,,Dental Problems,Cost of Housing,,,,,,,,,Mental Health Problems,,Sexually Transmitted Diseases (STDs),,,,,,,,,Access to Primary Care,,,Everything  costs too much
11160150713,,,,,Crime,,,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,Homelessness,Quality Nutrition,,,,,Access to Primary Care,,,
11160145292,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,Cost of Housing,,,,"Smoking/Vaping, Tobacco Use",,,,,,,,,,Homelessness,,,,Lack of Food,,,,,Public transportation
11160140163,,,,,,Dental Problems,Cost of Housing,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11160133375,,,,,,Dental Problems,,,,,,,,,,,,,,,Homelessness,,,Access to Specialty Care,,,Access to Primary Care,,,Cost of dental and healthcare
11160114124,,,,,Crime,,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,Access to Primary Care,,,
11160087778,,,,,,Dental Problems,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,,,,Access to Specialty Care,,,Access to Primary Care,,,
11160081544,,,,,Crime,Dental Problems,Cost of Housing,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,Lack of Food,,Access to Primary Care,,,
11160072417,,,,Domestic Violence,,Dental Problems,Cost of Housing,,,,,,,,,,,,,,Homelessness,,,,,,,,,Police profiling
11160058432,,,,Domestic Violence,,Dental Problems,Cost of Housing,,,,,,,,,,,,,,Homelessness,,,,Lack of Food,,,,,
11160050229,Child Abuse/Neglect,,,,,,,Drug/Alcohol,,,,,,,Elder Abuse/Neglect,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11160032419,Child Abuse/Neglect,,,Domestic Violence,,,,Drug/Alcohol,,,,,,,,,,Sexually Transmitted Diseases (STDs),,,Homelessness,,,,,,,,,
11160024805,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,Domestic Violence,,,,Drug/Alcohol,,,,,,,,,,,,,Homelessness,,,,,,,,,
11160016253,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11160007197,,,,,,Dental Problems,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11160001373,Child Abuse/Neglect,,,Domestic Violence,,,,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11159993452,Child Abuse/Neglect,,,Domestic Violence,,,,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11159983528,Child Abuse/Neglect,,,Domestic Violence,,,Cost of Housing,Drug/Alcohol,,,,,,,,,,,,,,,,,,,,Teenage Pregnancy,,
11159969440,,,,,,Dental Problems,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,Homelessness,,Senior Care,,,,,,,Disabled people need more help. People who become homeless DCF takes the kids. Need some funds for parents who become homeless.
11159945746,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",Loneliness /Isolation,,,,,Drug/Alcohol,,,,,,,Elder Abuse/Neglect,Mental Health Problems,,,,,,,,,,,,,,
11159915169,,,,,,Dental Problems,Cost of Housing,,,,,,,,,,,,,,Homelessness,Quality Nutrition,,,,,Access to Primary Care,,,
11159874639,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,,,,,,,,,Mental Health Problems,,,,,,,Senior Care,Access to Specialty Care,,,,,Dementia/Alzheimer,
11159833224,Child Abuse/Neglect,,,,Crime,,,Drug/Alcohol,,,,,,,,,Obesity,,,Aging Problems,,,,,,,,,,
11159580546,,,Loneliness /Isolation,,,,Cost of Housing,,,Sedentary Lifestyle (Not Enough Exercise),,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11159545783,,,Loneliness /Isolation,,,,,Drug/Alcohol,,,,,,,Elder Abuse/Neglect,Mental Health Problems,,,,,,,,,,,,,Dementia/Alzheimer,
11159453494,,,Loneliness /Isolation,,,,,,,Sedentary Lifestyle (Not Enough Exercise),,,,,Elder Abuse/Neglect,,,,,,Homelessness,,,,,,,,Dementia/Alzheimer,
11159150368,Child Abuse/Neglect,,Loneliness /Isolation,Domestic Violence,,,,,,,,,,,,,,,,,,,,,,,,,,
11158603756,Child Abuse/Neglect,,,,,Dental Problems,Cost of Housing,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,,,,,,,,,,
11158344605,,,,,,Dental Problems,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,,,,Access to Specialty Care,Lack of Food,,,,,
11158124724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
11158114694,,,Loneliness /Isolation,,,Dental Problems,,,,,,,,,,,,,,,,,Senior Care,,Lack of Food,,Access to Primary Care,,,
11158093972,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,Dental Problems,Cost of Housing,,,,,,,,,,Obesity,,,,Homelessness,,Senior Care,Access to Specialty Care,,,Access to Primary Care,,,
11158066008,,,,,,Dental Problems,Cost of Housing,Drug/Alcohol,,,,,,,,,,,,,Homelessness,,,,,,,,,
11158051821,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,Dental Problems,,,People not Getting Vaccinations/Immunizations,,,,,,,,,,,,,,,,,,,,,
11158050713,,,Loneliness /Isolation,,,,,,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,Access to Primary Care,,,
11158044531,,,Loneliness /Isolation,Domestic Violence,,,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11158030580,Child Abuse/Neglect,,,,,,Cost of Housing,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11158029931,,,Loneliness /Isolation,,,Dental Problems,Cost of Housing,,,,,,,,,,,,,,,,,,Lack of Food,,Access to Primary Care,,,
11158017301,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,Domestic Violence,,,,,,,,,,Suicide,Elder Abuse/Neglect,,,,,,Homelessness,,,,,,,,,
11158012615,Child Abuse/Neglect,,,,,,,,,,,,,Suicide,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11158001994,,,Loneliness /Isolation,,,Dental Problems,,Drug/Alcohol,,,,,,,Elder Abuse/Neglect,,,,,,Homelessness,,,,,,,,,
11157998657,,,,,,Dental Problems,Cost of Housing,,,,"Smoking/Vaping, Tobacco Use",,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11157992334,Child Abuse/Neglect,,,Domestic Violence,,,,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,Gun Violence,,,,,,,,,,,,,,,,,
11157984902,Child Abuse/Neglect,,,,Crime,,,,,,,,,,Elder Abuse/Neglect,,,,,,Homelessness,,,,,,,Teenage Pregnancy,,
11157982800,Child Abuse/Neglect,,,,Crime,,,,,,,,Gun Violence,,,Mental Health Problems,,,,,,,,,Lack of Food,,,,,
11157973953,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,Cost of Housing,,,,,,,,,Mental Health Problems,,,,Aging Problems,,,,,Lack of Food,,Access to Primary Care,,,
11157960875,,,,,,,Cost of Housing,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,Aging Problems,Homelessness,,,,,,,,,
11157958204,,,,,,,,Drug/Alcohol,,Sedentary Lifestyle (Not Enough Exercise),,,,,,,Obesity,,,Aging Problems,,,,,,,,,,
11157946891,,,,Domestic Violence,,,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,,,,,,Cultural Concerns,Access to Primary Care,,,
11157929114,,,,Domestic Violence,,,Cost of Housing,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,,,,Access to Specialty Care,,,,,,
11157907426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11157896675,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",Loneliness /Isolation,,,,,Drug/Alcohol,,Sedentary Lifestyle (Not Enough Exercise),,,,,,Mental Health Problems,,,,,,,,,,,,,,
11157895116,,,,,,Dental Problems,,,,,"Smoking/Vaping, Tobacco Use",,,,,,,,,,Homelessness,,,,Lack of Food,,,,,
11157757028,Child Abuse/Neglect,,Loneliness /Isolation,Domestic Violence,Crime,,,Drug/Alcohol,,,,,,Suicide,,Mental Health Problems,Obesity,,Rape/Sexual Assault,,,Quality Nutrition,Senior Care,,Lack of Food,,,,Dementia/Alzheimer,
11157515766,Child Abuse/Neglect,,,Domestic Violence,,,,,,,"Smoking/Vaping, Tobacco Use",,,,,Mental Health Problems,,,,,,,,,,,Access to Primary Care,,,
11157439953,Child Abuse/Neglect,,,Domestic Violence,,,Cost of Housing,Drug/Alcohol,,,,,,,,,,,,,Homelessness,,,,,,,,,
11157265408,Child Abuse/Neglect,,,,,,Cost of Housing,,,,,,,,Elder Abuse/Neglect,,,,,,,,,,,,,,,Health Care Cost/Lack of Services for Elder and Youth & Transportation
11157108200,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",Loneliness /Isolation,,,,,,,Sedentary Lifestyle (Not Enough Exercise),,,,,,Mental Health Problems,,,,,,Quality Nutrition,,,,,,,,
11157026557,,,,,,,Cost of Housing,Drug/Alcohol,,,,,,,,Mental Health Problems,Obesity,,,,,,,Access to Specialty Care,,,,,,
11156931095,Child Abuse/Neglect,,,,,,Cost of Housing,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,,,,,,,,,,Lack of youth activities/businesses
11156888513,Child Abuse/Neglect,,,Domestic Violence,,Dental Problems,,,,,,,,Suicide,,Mental Health Problems,,,,,,,,,,,,,,
11156850466,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,Dental Problems,,,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11156829742,,,,,,,,,,,,,,Suicide,Elder Abuse/Neglect,,,Sexually Transmitted Diseases (STDs),,,Homelessness,,,,,,,Teenage Pregnancy,,
11156806883,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,Dental Problems,Cost of Housing,,,,"Smoking/Vaping, Tobacco Use",,,,,,,,,,,,,,,,,,Dementia/Alzheimer,
11156792191,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,Cost of Housing,,,,,,,,Elder Abuse/Neglect,,Obesity,,,,Homelessness,,,,,,,,,
11156783723,,,,,,,Cost of Housing,,,Sedentary Lifestyle (Not Enough Exercise),,,,,,,Obesity,,,,Homelessness,,,,,,,Teenage Pregnancy,,
11156770507,Child Abuse/Neglect,,,Domestic Violence,,,Cost of Housing,Drug/Alcohol,,,,,,,,,,,,,,,,,,,,,Dementia/Alzheimer,
11156757930,Child Abuse/Neglect,,,Domestic Violence,,Dental Problems,Cost of Housing,,,,,,,,,,,,,,,,Senior Care,,,,,,,
11156709964,Child Abuse/Neglect,,,,,,Cost of Housing,,,,,,,,,,Obesity,,,,,,Senior Care,,,,,Teenage Pregnancy,,
11156707039,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,Drug/Alcohol,,,,,,,Elder Abuse/Neglect,,,,,,,,,Access to Specialty Care,,,,,,
11156688923,,,,,,,Cost of Housing,,,,,,,Suicide,,Mental Health Problems,,,,,Homelessness,,,Access to Specialty Care,,,,,,
11156644663,,,,,,,Cost of Housing,,,,,,,Suicide,,,,,,,Homelessness,Quality Nutrition,,,Lack of Food,,,,,
11156634279,Child Abuse/Neglect,,,,,Dental Problems,,,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,Lack of Food,,,,,
11156566274,,,,,,Dental Problems,,Drug/Alcohol,People not Getting Vaccinations/Immunizations,,,,,,,Mental Health Problems,,,,,,,Senior Care,,,,,,,Police harassment
11156546382,,,,,,,Cost of Housing,,People not Getting Vaccinations/Immunizations,,,,,,Elder Abuse/Neglect,,,,,,Homelessness,,,,Lack of Food,,,,,
11156523841,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,Domestic Violence,,,,,People not Getting Vaccinations/Immunizations,,,,,,,,,,Rape/Sexual Assault,,,,,,,,,,,
11156513419,Child Abuse/Neglect,,Loneliness /Isolation,,,,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,,,,,,,Access to Primary Care,,,
11156490234,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,Dental Problems,Cost of Housing,,,,,,,,,,,,,,,,,,Lack of Food,,,,,
11156465714,,,Loneliness /Isolation,,,,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,Cultural Concerns,,,,
11156356164,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",Loneliness /Isolation,,,,,,,,,,,,,,,,,,,,,Access to Specialty Care,,Cultural Concerns,Access to Primary Care,,,
11156298433,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,Access to Primary Care,,,
11156206751,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,Dental Problems,Cost of Housing,Drug/Alcohol,,,,,,,,,,,,,Homelessness,,,,,,,,,
11156141518,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,,,,"Smoking/Vaping, Tobacco Use",,,Suicide,,Mental Health Problems,,,,,,,,,,,,,,
11154518306,,,,,,Dental Problems,,Drug/Alcohol,,,,,Gun Violence,,,,,,,,Homelessness,,,,,,,,,water quality
11154270878,Child Abuse/Neglect,,,,,,Cost of Housing,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
