RespondID,HealthierMenuOptionsRest,FreeLowCostSportsEquip,AccessTrailsParks,CounselingSupport,WellMaintainedSidewalks,HealthEducationWellnessProg,AffordableSportsRecActiv,FarmersMarkets,CommunityGardens,SmokeFreeEnviron,MentalHealthSupportProg,AdequateAfterSchoolProg,DiversityTolerantPop,AffordableHousing,HighQualJobs,ArtsCulturalEvents,CleanEnviron,TransportationOptions,LowCrimeSafeNeighborhoods,ReligiousSpiritualValues,Churches,QualEducGoodSchools,Other
11167151703,,,,,Well-Maintained Sidewalks,,,,,Smoke-Free Environment,,,A Diversity-Tolerant Population,,,,Clean Environment,,,,Churches,,
11167130622,,,,,,,,,,,,,,,,,,,,,Churches,,
11167119189,Healthier Menu Options at Restaurants,Free or Low Cost Sports Equipment,Access to Trails and Parks,,,,Affordable Sports and Recreation Activities,,,,,,,,,,,,,,,,
11167106075,,,Access to Trails and Parks,,Well-Maintained Sidewalks,,,,,,,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,
11167099178,,,,Counseling & Support,,,,,,Smoke-Free Environment,Mental Health Support Programs,,,Affordable Housing,,,,,,,,,
11167083032,,,,,,,,,,,Mental Health Support Programs,,,,,,,,,,,,
11167068541,,,,,,,,Farmers Markets,,,,Adequate After-School Programs,,,,,,,,,,,
11166982689,,,,,,,,,,,,,,,,Arts and Cultural Events,,,,Religious and Spiritual Values,Churches,,
11166274825,,,,,,,,,,,,,,,,Arts and Cultural Events,Clean Environment,,Low Crime/Safe Neighborhoods,,,,
11166260590,,,,,,,,,,Smoke-Free Environment,,,,,High Quality Jobs,,,Transportation Options,,,,,
11166258730,,,,,,,,Farmers Markets,,,,,,,,,,,,,,,
11166251179,Healthier Menu Options at Restaurants,,,,Well-Maintained Sidewalks,,,Farmers Markets,,Smoke-Free Environment,,,,Affordable Housing,,,,,,,,,
11166241233,Healthier Menu Options at Restaurants,,,,,,,,,,,Adequate After-School Programs,,,,,,,,,,,
11166239306,,Free or Low Cost Sports Equipment,Access to Trails and Parks,,Well-Maintained Sidewalks,Health Education/Wellness Programs,,,,Smoke-Free Environment,,,,,,,,Transportation Options,,,,,
11166226128,Healthier Menu Options at Restaurants,,,,,,,,,,,,,,,,,,,,,,
11166224969,,,,,,,,,,,,Adequate After-School Programs,,Affordable Housing,,,,Transportation Options,,,,Quality Education (Good Schools),
11166214336,,,,,,,,,,,,,,,,,,,,,,,
11166209726,,,,,,,,,,,Mental Health Support Programs,,,,High Quality Jobs,,Clean Environment,,,,Churches,Quality Education (Good Schools),
11166206361,,,,Counseling & Support,,Health Education/Wellness Programs,,Farmers Markets,,,,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,Quality Education (Good Schools),
11166194194,Healthier Menu Options at Restaurants,,,,,,,,,,Mental Health Support Programs,,,Affordable Housing,,,Clean Environment,,,,,,
11166188312,,,Access to Trails and Parks,,Well-Maintained Sidewalks,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,,,
11166183367,,,,Counseling & Support,,,,,,,,,,,,,,,,,,,
11166167471,Healthier Menu Options at Restaurants,,,,,,,,,,,,,Affordable Housing,High Quality Jobs,,Clean Environment,,Low Crime/Safe Neighborhoods,,,,
11166166359,Healthier Menu Options at Restaurants,,,,,,Affordable Sports and Recreation Activities,,,,,,,,,,,,Low Crime/Safe Neighborhoods,,,,
11166063300,,,,,,,,,,,Mental Health Support Programs,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,"More access for affordable medical, dental and specialty medical needs"
11165669973,,,Access to Trails and Parks,,,,Affordable Sports and Recreation Activities,Farmers Markets,,,,,,,,,,,,,,,
11165012444,Healthier Menu Options at Restaurants,,,,Well-Maintained Sidewalks,,,,,Smoke-Free Environment,,,,,,,Clean Environment,,Low Crime/Safe Neighborhoods,,,,
11164815511,,Free or Low Cost Sports Equipment,,,,,Affordable Sports and Recreation Activities,,Community Gardens,,,,,Affordable Housing,,,,,,,,,
11164812014,,,Access to Trails and Parks,,Well-Maintained Sidewalks,,,,,Smoke-Free Environment,,,,,,,,,Low Crime/Safe Neighborhoods,,,,
11164650427,,,,Counseling & Support,,,Affordable Sports and Recreation Activities,,,Smoke-Free Environment,Mental Health Support Programs,Adequate After-School Programs,,,High Quality Jobs,,,,,,,,
11164494487,,,Access to Trails and Parks,,Well-Maintained Sidewalks,,Affordable Sports and Recreation Activities,,,,,,,,,Arts and Cultural Events,Clean Environment,,,,,,
11163939883,,,,,,Health Education/Wellness Programs,Affordable Sports and Recreation Activities,,,,,,,Affordable Housing,,,,Transportation Options,,,,Quality Education (Good Schools),
11163388957,,,,,,,,,,,,,A Diversity-Tolerant Population,Affordable Housing,High Quality Jobs,,Clean Environment,,,,,,
11163297153,,,,,,,,,,,,,,,,,,,,,,,
11162819218,,,,,,,,,,,,,,,High Quality Jobs,,,,,,,,
11162801723,,,,,Well-Maintained Sidewalks,,,,,,Mental Health Support Programs,,A Diversity-Tolerant Population,Affordable Housing,,,,Transportation Options,,,,,
11162271812,,,,,,Health Education/Wellness Programs,,,,Smoke-Free Environment,,,,,,,,,Low Crime/Safe Neighborhoods,,,,
11162152745,,,,Counseling & Support,,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,Low Crime/Safe Neighborhoods,,,,
11161432220,,,,,,,Affordable Sports and Recreation Activities,,,,,,,,High Quality Jobs,,,,,,,Quality Education (Good Schools),
11160859560,,,,Counseling & Support,,Health Education/Wellness Programs,,,,,,Adequate After-School Programs,,,,,,Transportation Options,,,,Quality Education (Good Schools),
11160845455,,,,,,Health Education/Wellness Programs,,,Community Gardens,,,Adequate After-School Programs,,,,,Clean Environment,,,,,Quality Education (Good Schools),
11160839838,,Free or Low Cost Sports Equipment,Access to Trails and Parks,,,,,,,,,Adequate After-School Programs,,Affordable Housing,,Arts and Cultural Events,,,,,,Quality Education (Good Schools),
11160831679,,,,,,,,,,,,,,Affordable Housing,,,,,,Religious and Spiritual Values,,,
11160827427,,,Access to Trails and Parks,,,,,,Community Gardens,Smoke-Free Environment,Mental Health Support Programs,,,Affordable Housing,,,,,,,,,
11160822002,,,,Counseling & Support,,,,,,,,,,,High Quality Jobs,,,,,,,,
11160816054,,,,,,,,,,,,,,Affordable Housing,,,,,,,,,
11160810539,,,,,,,Affordable Sports and Recreation Activities,,Community Gardens,,,Adequate After-School Programs,,Affordable Housing,,,,Transportation Options,,,,,
11160805278,,,Access to Trails and Parks,Counseling & Support,,,,,,,Mental Health Support Programs,,,Affordable Housing,High Quality Jobs,,,,,,,,
11160791306,,Free or Low Cost Sports Equipment,,,,,,Farmers Markets,,,,,,,High Quality Jobs,Arts and Cultural Events,,Transportation Options,,,,,
11160785593,,,,,,Health Education/Wellness Programs,,,,,Mental Health Support Programs,,,,,,,,,,,Quality Education (Good Schools),
11160779076,,,,Counseling & Support,,Health Education/Wellness Programs,,,,,,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,
11160773314,,Free or Low Cost Sports Equipment,Access to Trails and Parks,,,,,,,,,,,,,,,,,,,,
11160766622,,,,,,,Affordable Sports and Recreation Activities,,,,,Adequate After-School Programs,,,,,,,,,,,
11160766172,,,,,,,,,,,,,A Diversity-Tolerant Population,Affordable Housing,High Quality Jobs,,,,Low Crime/Safe Neighborhoods,,,Quality Education (Good Schools),
11160761445,,Free or Low Cost Sports Equipment,Access to Trails and Parks,,,Health Education/Wellness Programs,Affordable Sports and Recreation Activities,Farmers Markets,,,,,,,High Quality Jobs,,,,,,,,
11160753990,,,,Counseling & Support,,,Affordable Sports and Recreation Activities,Farmers Markets,,,,,,Affordable Housing,High Quality Jobs,,,,,,,,
11160748232,,,,,,,,,,,Mental Health Support Programs,,,,High Quality Jobs,,,,,Religious and Spiritual Values,Churches,,
11160740726,,Free or Low Cost Sports Equipment,,Counseling & Support,,,,,,,,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,,,,,,
11160734603,,,,,Well-Maintained Sidewalks,,,,,,,,,Affordable Housing,High Quality Jobs,,,,,,,Quality Education (Good Schools),
11160723234,,,,,,,,,Community Gardens,,,,A Diversity-Tolerant Population,,,,,,,,,,
11160715764,,,,,Well-Maintained Sidewalks,,,,,,,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,Quality Education (Good Schools),
11160709152,,,,Counseling & Support,,Health Education/Wellness Programs,,,,,Mental Health Support Programs,,,,,,Clean Environment,,Low Crime/Safe Neighborhoods,,,,
11160702251,,,,Counseling & Support,,,,Farmers Markets,,,Mental Health Support Programs,,,,,,,,,,,,
11160696530,,,,,,,,,,,,,,Affordable Housing,High Quality Jobs,,,Transportation Options,Low Crime/Safe Neighborhoods,,,,
11160688201,,,Access to Trails and Parks,Counseling & Support,,,,,,,,,,,,,,,,,,,
11160682142,,Free or Low Cost Sports Equipment,,,Well-Maintained Sidewalks,Health Education/Wellness Programs,Affordable Sports and Recreation Activities,,,,,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,Quality Education (Good Schools),
11160671864,,,Access to Trails and Parks,Counseling & Support,,,,,Community Gardens,,,,,Affordable Housing,,,,Transportation Options,,,,,
11160664703,,,,,,,,,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,
11160657255,,,Access to Trails and Parks,,,,,,,,,Adequate After-School Programs,,,,,Clean Environment,,,Religious and Spiritual Values,Churches,,
11160649755,,,,Counseling & Support,,,,,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,,,,,,
11160643190,,,,Counseling & Support,,,,,,,,,,Affordable Housing,,,,Transportation Options,,,,,
11160623096,,,,Counseling & Support,,,,Farmers Markets,,,,Adequate After-School Programs,,,,,,Transportation Options,,,,,
11160391837,Healthier Menu Options at Restaurants,,Access to Trails and Parks,,Well-Maintained Sidewalks,,,Farmers Markets,Community Gardens,,,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,Arts and Cultural Events,,,Low Crime/Safe Neighborhoods,,,Quality Education (Good Schools),
11160236580,,,,,,,Affordable Sports and Recreation Activities,,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,,,,,Quality Education (Good Schools),
11160198624,,,Access to Trails and Parks,,,,,,Community Gardens,,,,,Affordable Housing,,,,Transportation Options,,,,,
11160194782,,,Access to Trails and Parks,,Well-Maintained Sidewalks,,,,Community Gardens,Smoke-Free Environment,,Adequate After-School Programs,,,,,Clean Environment,,,,,,Allow pets more places with strict adherence to being responsible for their clean up
11160192650,,Free or Low Cost Sports Equipment,,,,,Affordable Sports and Recreation Activities,,Community Gardens,,,,,Affordable Housing,,,,Transportation Options,,,,,access to exercise classes
11160183275,,,Access to Trails and Parks,,,Health Education/Wellness Programs,Affordable Sports and Recreation Activities,,,,,,,Affordable Housing,,,Clean Environment,,,,,,
11160183107,,,,Counseling & Support,,,,,,,Mental Health Support Programs,,,,High Quality Jobs,,,Transportation Options,,,,,
11160176796,,,,,,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,,Low Crime/Safe Neighborhoods,,,,
11160175349,,,Access to Trails and Parks,,,Health Education/Wellness Programs,,,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,,,
11160167278,Healthier Menu Options at Restaurants,,,Counseling & Support,,,,,,,Mental Health Support Programs,,,,,,,,,,,,
11160166822,,,,Counseling & Support,,Health Education/Wellness Programs,,,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,Clean Environment,Transportation Options,Low Crime/Safe Neighborhoods,Religious and Spiritual Values,Churches,Quality Education (Good Schools),
11160158525,,,,,,,,Farmers Markets,,,,,,Affordable Housing,,,,Transportation Options,,,,,
11160156592,,,Access to Trails and Parks,,,,Affordable Sports and Recreation Activities,,,,,,,Affordable Housing,,,,Transportation Options,,,,,
11160150713,,,,Counseling & Support,,,,,,,Mental Health Support Programs,Adequate After-School Programs,A Diversity-Tolerant Population,Affordable Housing,,,,Transportation Options,,Religious and Spiritual Values,Churches,Quality Education (Good Schools),
11160145292,,,,Counseling & Support,,,,,,,Mental Health Support Programs,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,Religious and Spiritual Values,,,
11160140163,,,,Counseling & Support,,,Affordable Sports and Recreation Activities,,,,,,A Diversity-Tolerant Population,Affordable Housing,,,,Transportation Options,,,,,
11160133375,,Free or Low Cost Sports Equipment,,,,Health Education/Wellness Programs,Affordable Sports and Recreation Activities,,,,,,,Affordable Housing,,,Clean Environment,,,,,,
11160114124,,,,Counseling & Support,,Health Education/Wellness Programs,Affordable Sports and Recreation Activities,,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,,,
11160087778,,,,,,,,,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,,Arts and Cultural Events,,Transportation Options,,,,,
11160081544,,,,,,,,Farmers Markets,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,Low Crime/Safe Neighborhoods,,,,
11160072417,,,,,,,,,,,,Adequate After-School Programs,,Affordable Housing,,,,,,,,,
11160058432,,,,Counseling & Support,,,,,,,Mental Health Support Programs,,,Affordable Housing,,Arts and Cultural Events,,Transportation Options,,,,,
11160050229,,,,Counseling & Support,,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,Churches,,
11160032419,,,,Counseling & Support,,,,,,,,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,,,,,,
11160024805,,,,Counseling & Support,,,,Farmers Markets,,Smoke-Free Environment,,Adequate After-School Programs,,Affordable Housing,,Arts and Cultural Events,,,,,,,
11160016253,,,,Counseling & Support,,,Affordable Sports and Recreation Activities,Farmers Markets,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,,,,Transportation Options,,,,Quality Education (Good Schools),
11160007197,,,,Counseling & Support,,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,,,
11160001373,,,,Counseling & Support,,,,,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,,,,Transportation Options,,,,,
11159993452,,,,,,,,,,,,,,,,,,Transportation Options,,,,,
11159983528,,,,,,,Affordable Sports and Recreation Activities,,,,,,,Affordable Housing,High Quality Jobs,,,Transportation Options,Low Crime/Safe Neighborhoods,,,,
11159969440,,,,,,,,,,,,Adequate After-School Programs,,Affordable Housing,,,,Transportation Options,,,,,
11159945746,,,,,,,Affordable Sports and Recreation Activities,Farmers Markets,Community Gardens,,,,,,,,,Transportation Options,,Religious and Spiritual Values,,,
11159915169,,Free or Low Cost Sports Equipment,,,,Health Education/Wellness Programs,Affordable Sports and Recreation Activities,Farmers Markets,,,,,,Affordable Housing,High Quality Jobs,,,,,,,,
11159874639,,,,Counseling & Support,,,,,,,Mental Health Support Programs,,,Affordable Housing,High Quality Jobs,,,,,,,Quality Education (Good Schools),Assistance for disabled people under age 65
11159833224,,,,Counseling & Support,,,,,,,,,,Affordable Housing,,,,Transportation Options,Low Crime/Safe Neighborhoods,,,Quality Education (Good Schools),
11159580546,,,Access to Trails and Parks,Counseling & Support,Well-Maintained Sidewalks,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,,,,,,
11159545783,,,,Counseling & Support,Well-Maintained Sidewalks,,,,Community Gardens,,,,,,,Arts and Cultural Events,,,,Religious and Spiritual Values,,,
11159453494,Healthier Menu Options at Restaurants,,,,,Health Education/Wellness Programs,,,,,,Adequate After-School Programs,,Affordable Housing,,,,Transportation Options,,,,,
11159150368,,Free or Low Cost Sports Equipment,Access to Trails and Parks,Counseling & Support,Well-Maintained Sidewalks,Health Education/Wellness Programs,Affordable Sports and Recreation Activities,,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,Arts and Cultural Events,Clean Environment,Transportation Options,,,,,
11158603756,,,,Counseling & Support,,,,,,,Mental Health Support Programs,,,Affordable Housing,High Quality Jobs,,,,,,,Quality Education (Good Schools),
11158344605,,,,,,,,,,,,,,Affordable Housing,,,,Transportation Options,,,,,
11158124724,,,,,,,,,,,,,,,,,,,,,,,no
11158114694,Healthier Menu Options at Restaurants,Free or Low Cost Sports Equipment,Access to Trails and Parks,,,,,,,,,,,,,,,,,,Churches,Quality Education (Good Schools),
11158093972,,,,,,,,Farmers Markets,,,Mental Health Support Programs,,,Affordable Housing,High Quality Jobs,Arts and Cultural Events,Clean Environment,Transportation Options,,,,Quality Education (Good Schools),
11158066008,,,,,,,,,,,,,,,High Quality Jobs,,,,,,,,
11158051821,,,,Counseling & Support,,Health Education/Wellness Programs,,,,,,Adequate After-School Programs,,Affordable Housing,,,Clean Environment,,,,,,
11158050713,,,,Counseling & Support,,Health Education/Wellness Programs,,Farmers Markets,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,,,
11158044531,,,,,,,,Farmers Markets,,,,,,Affordable Housing,,,,Transportation Options,,,,,
11158030580,,,,Counseling & Support,,,,,,,,,,Affordable Housing,High Quality Jobs,,,,,,,,
11158029931,,,,,,,,Farmers Markets,,,,,A Diversity-Tolerant Population,,,,Clean Environment,,Low Crime/Safe Neighborhoods,,,,
11158017301,Healthier Menu Options at Restaurants,,,,,,,Farmers Markets,,,Mental Health Support Programs,,,Affordable Housing,High Quality Jobs,,,,,,,,
11158012615,Healthier Menu Options at Restaurants,,,,,,,Farmers Markets,,,Mental Health Support Programs,,,Affordable Housing,,,Clean Environment,,,,,,
11158001994,,,,,Well-Maintained Sidewalks,,Affordable Sports and Recreation Activities,Farmers Markets,Community Gardens,,,Adequate After-School Programs,,,,,,,,,,,
11157998657,,,,Counseling & Support,,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,,,
11157992334,,,,Counseling & Support,,,,,,Smoke-Free Environment,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,,,Clean Environment,,,,,,
11157984902,,,,,,,,,,,,,,,High Quality Jobs,,Clean Environment,,,,,,
11157982800,,,,,,,,Farmers Markets,,,,,,Affordable Housing,,Arts and Cultural Events,,Transportation Options,Low Crime/Safe Neighborhoods,,,,
11157973953,,,Access to Trails and Parks,,,,,,Community Gardens,Smoke-Free Environment,,,,,,,Clean Environment,,Low Crime/Safe Neighborhoods,,,,
11157960875,,,,,Well-Maintained Sidewalks,,,,,,Mental Health Support Programs,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,
11157958204,Healthier Menu Options at Restaurants,,,,Well-Maintained Sidewalks,,,Farmers Markets,,Smoke-Free Environment,,,,,High Quality Jobs,,,,,,,,
11157946891,,,Access to Trails and Parks,,,Health Education/Wellness Programs,,,,Smoke-Free Environment,Mental Health Support Programs,,,,,,,,,,,Quality Education (Good Schools),
11157929114,,,,,,,,,Community Gardens,,,,,,High Quality Jobs,,Clean Environment,Transportation Options,,,,,
11157907426,,,,,,,,,,,,,,,,,,,,,,,
11157896675,,,,,,,,Farmers Markets,,,,,,,High Quality Jobs,,,,,,,,
11157895116,Healthier Menu Options at Restaurants,,,,,,,,,,,,,Affordable Housing,,,,Transportation Options,,,,,
11157757028,,,,,,,,,,,,,,Affordable Housing,High Quality Jobs,,,,,,,,
11157515766,,,,,,,,,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,,Low Crime/Safe Neighborhoods,,,,
11157439953,,,Access to Trails and Parks,,,,,,,Smoke-Free Environment,,,,Affordable Housing,,,,,Low Crime/Safe Neighborhoods,Religious and Spiritual Values,,,
11157265408,,,,,,,Affordable Sports and Recreation Activities,,,,,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,
11157108200,,,Access to Trails and Parks,,,Health Education/Wellness Programs,,Farmers Markets,Community Gardens,,Mental Health Support Programs,,,,,Arts and Cultural Events,Clean Environment,,,,,,
11157026557,,,,,,,,,,Smoke-Free Environment,,,,,,,,Transportation Options,,,,,
11156931095,,Free or Low Cost Sports Equipment,,,Well-Maintained Sidewalks,Health Education/Wellness Programs,Affordable Sports and Recreation Activities,Farmers Markets,,,Mental Health Support Programs,Adequate After-School Programs,A Diversity-Tolerant Population,Affordable Housing,High Quality Jobs,Arts and Cultural Events,,Transportation Options,,,,Quality Education (Good Schools),
11156888513,,,,Counseling & Support,,,,,,,Mental Health Support Programs,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,
11156850466,,,,,,,,,,,,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,
11156829742,,,,,Well-Maintained Sidewalks,,Affordable Sports and Recreation Activities,,,,,,,,,Arts and Cultural Events,Clean Environment,Transportation Options,,,,,
11156806883,,,,,,,,,,,,,,Affordable Housing,High Quality Jobs,,Clean Environment,Transportation Options,,,,Quality Education (Good Schools),
11156792191,,,,,,,,,Community Gardens,,,,,,High Quality Jobs,Arts and Cultural Events,,Transportation Options,,,,,
11156783723,,,,,,,Affordable Sports and Recreation Activities,,,,Mental Health Support Programs,,,Affordable Housing,,Arts and Cultural Events,,Transportation Options,,,,,
11156770507,,,Access to Trails and Parks,,Well-Maintained Sidewalks,,Affordable Sports and Recreation Activities,,Community Gardens,,,,A Diversity-Tolerant Population,,High Quality Jobs,,Clean Environment,,Low Crime/Safe Neighborhoods,Religious and Spiritual Values,,,
11156757930,,Free or Low Cost Sports Equipment,Access to Trails and Parks,,,,Affordable Sports and Recreation Activities,,,,,,,Affordable Housing,,,,Transportation Options,,,,,
11156709964,,,,,,,,,,,,,,Affordable Housing,,,,,,,,,
11156707039,,,,Counseling & Support,,,,,,,,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,Religious and Spiritual Values,,,
11156688923,,,,,,Health Education/Wellness Programs,,,,,Mental Health Support Programs,,,,High Quality Jobs,Arts and Cultural Events,,,,,,,
11156644663,Healthier Menu Options at Restaurants,,Access to Trails and Parks,,,,,,Community Gardens,,Mental Health Support Programs,,,,,,,,,Religious and Spiritual Values,,,
11156634279,,,,Counseling & Support,,Health Education/Wellness Programs,,,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,,,
11156566274,,Free or Low Cost Sports Equipment,,,,,Affordable Sports and Recreation Activities,,,,,,,Affordable Housing,High Quality Jobs,Arts and Cultural Events,,Transportation Options,,,,,
11156546382,,,,,,,,Farmers Markets,,,,Adequate After-School Programs,,Affordable Housing,,,Clean Environment,,Low Crime/Safe Neighborhoods,,,,
11156523841,,,,,Well-Maintained Sidewalks,,,,,,,,,,High Quality Jobs,,,,,,,Quality Education (Good Schools),
11156513419,,,,Counseling & Support,,,,,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,,,Clean Environment,,,,,,
11156490234,,,,Counseling & Support,,,,,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,,,,Transportation Options,,,,,
11156465714,,,,,Well-Maintained Sidewalks,,,Farmers Markets,,,,,,Affordable Housing,,,,,,,,,
11156356164,,,,,,Health Education/Wellness Programs,,Farmers Markets,Community Gardens,,,,,,High Quality Jobs,,,Transportation Options,,,,,
11156298433,,,,Counseling & Support,,Health Education/Wellness Programs,,,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,,,
11156206751,,Free or Low Cost Sports Equipment,,,,,Affordable Sports and Recreation Activities,Farmers Markets,,,,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,Churches,,
11156141518,Healthier Menu Options at Restaurants,,,Counseling & Support,,,Affordable Sports and Recreation Activities,,,,,Adequate After-School Programs,,,,,,,Low Crime/Safe Neighborhoods,,,,
11154518306,,,Access to Trails and Parks,,Well-Maintained Sidewalks,Health Education/Wellness Programs,,,,,,,,,,Arts and Cultural Events,Clean Environment,,,,,Quality Education (Good Schools),
11154270878,Healthier Menu Options at Restaurants,,,,,,,,,,,,,Affordable Housing,,,,,,,,,
11154243190,,,Access to Trails and Parks,,Well-Maintained Sidewalks,,Affordable Sports and Recreation Activities,,,,,Adequate After-School Programs,,,,,,Transportation Options,,,,,
11154230975,,,,Counseling & Support,,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,,,
11154220690,,,,,,,,Farmers Markets,Community Gardens,,,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,
11154182451,,,Access to Trails and Parks,,,,,,Community Gardens,,,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,
11154165750,,,,,,,,,,,Mental Health Support Programs,,,Affordable Housing,,Arts and Cultural Events,,Transportation Options,,,,,
11154046568,,,Access to Trails and Parks,,,,,,,,,,,Affordable Housing,,,,Transportation Options,,,,,
11154032699,,,,,,,,,,,,,,,,,,Transportation Options,,,,,
11154008556,,,,Counseling & Support,,,,,,,Mental Health Support Programs,,,Affordable Housing,High Quality Jobs,,,,,,,,culturally competent police force
11153960018,,Free or Low Cost Sports Equipment,,,,,Affordable Sports and Recreation Activities,Farmers Markets,,,,,,Affordable Housing,,,,Transportation Options,,,,,
11153935110,,,,,,,,,,,,,,Affordable Housing,,,,Transportation Options,,,,,
11153928476,,,Access to Trails and Parks,,,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,,,
11153918810,,,,,Well-Maintained Sidewalks,Health Education/Wellness Programs,Affordable Sports and Recreation Activities,Farmers Markets,Community Gardens,,,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,Arts and Cultural Events,,Transportation Options,,,,Quality Education (Good Schools),
11153903113,,,,,,,Affordable Sports and Recreation Activities,,,,,,,Affordable Housing,,,,Transportation Options,,,,,
11153829852,,,,,,,Affordable Sports and Recreation Activities,,,,,,,Affordable Housing,,Arts and Cultural Events,,Transportation Options,,,,,
11153766917,,,,,,,,,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,,,,,Quality Education (Good Schools),
11152954615,,Free or Low Cost Sports Equipment,,Counseling & Support,,,,,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,,,,,,,,,
11152946199,,,,Counseling & Support,,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,,,,,,
11152865758,,,,,,,,,,,,Adequate After-School Programs,A Diversity-Tolerant Population,Affordable Housing,High Quality Jobs,,,,,,,Quality Education (Good Schools),Mandatory Diversity-Tolerant training for School district employees
11152852941,,,,,,,,,,Smoke-Free Environment,,Adequate After-School Programs,,,,Arts and Cultural Events,Clean Environment,,,,,Quality Education (Good Schools),
11152852098,,,,Counseling & Support,,,,,,,,,,,,,,,,,,,"Background checks on ""Doctors"""
11152789413,,,,Counseling & Support,Well-Maintained Sidewalks,,Affordable Sports and Recreation Activities,,,,,,A Diversity-Tolerant Population,,,,,Transportation Options,,,,,
11152725282,,,,,,Health Education/Wellness Programs,,,,,,,,,High Quality Jobs,,,Transportation Options,,Religious and Spiritual Values,,Quality Education (Good Schools),
11152605929,Healthier Menu Options at Restaurants,,,,,Health Education/Wellness Programs,,,,Smoke-Free Environment,,,,,High Quality Jobs,,,Transportation Options,,,,,
11152424058,Healthier Menu Options at Restaurants,Free or Low Cost Sports Equipment,,,,,,,,,,Adequate After-School Programs,,,High Quality Jobs,Arts and Cultural Events,,,Low Crime/Safe Neighborhoods,,,,
11150856257,,Free or Low Cost Sports Equipment,,Counseling & Support,Well-Maintained Sidewalks,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,,,,,,
11150755946,,,,,,Health Education/Wellness Programs,,,,,Mental Health Support Programs,,A Diversity-Tolerant Population,Affordable Housing,High Quality Jobs,,,,,,,,
11150513432,,,,,,,,,,,,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,
11150490306,,Free or Low Cost Sports Equipment,,,Well-Maintained Sidewalks,,Affordable Sports and Recreation Activities,,,,,,,,,,,,Low Crime/Safe Neighborhoods,,,Quality Education (Good Schools),
11150285615,,,,Counseling & Support,,,,,,,,,,Affordable Housing,,,,,,,,,
